"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @PiyushGoyal: Make in India <U+0001F1EE><U+0001F1F3> for the World:
Realising our Hon'ble PM's Vision of #AatmaNirbharBharat &amp; Exemplifying our capability to…",FALSE,0,NA,2021-03-11 03:55:18,FALSE,NA,"1369859451180621831",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DRMJaipur",134,TRUE,FALSE,NA,NA
"RT @SKodineya: #Code of #Ethics for #OTTplatforms requires them to self-classify the contents into five age based categories and implement…",FALSE,0,NA,2021-03-11 03:52:50,FALSE,NA,"1369858829177876480",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","samarjeetrath14",45,TRUE,FALSE,NA,NA
"RT @SKodineya: <U+0001F6E9> The #Aerial #LiDAR survey to capture data for the Mumbai-Ahmedabad high-speed rail corridor has begun.

<U+0001F687> This study will…",FALSE,0,NA,2021-03-11 03:52:50,FALSE,NA,"1369858828930478082",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","samarjeetrath14",45,TRUE,FALSE,NA,NA
"RT @DRDO_India: DRDO achieved an important milestone in the development of AIP System by proving the land based prototype on 8 March 2021.…",FALSE,0,NA,2021-03-11 03:49:15,FALSE,NA,"1369857929180979204",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Navneet41176942",929,TRUE,FALSE,NA,NA
"RT @blwvaranasi: In- house Design: This is BLW’s first cape gauge loco built with AC-AC traction system. This loco has new design Cape Gaug…",FALSE,0,NA,2021-03-11 03:49:10,FALSE,NA,"1369857908867960838",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","siddhu_ANU12243",8,TRUE,FALSE,NA,NA
"RT @mygovindia: INS Karanj, the 3rd indigenous submarine, commissioned into the Indian navy after two years of rigorous sea trials. Watch t…",FALSE,0,NA,2021-03-11 03:47:37,FALSE,NA,"1369857517098962950",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Prakash50385190",46,TRUE,FALSE,NA,NA
"RT @mygovindia: #MaitriSetu will not only boost the production of various bamboo products but will also widen the pineapple and agarbatti b…",FALSE,0,NA,2021-03-11 03:47:12,FALSE,NA,"1369857411704442882",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amitnpc1989",32,TRUE,FALSE,NA,NA
"RT @DRDO_India: DRDO achieved an important milestone in the development of AIP System by proving the land based prototype on 8 March 2021.…",FALSE,0,NA,2021-03-11 03:46:47,FALSE,NA,"1369857307249569792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kartik07chauhan",929,TRUE,FALSE,NA,NA
"RT @DRDO_India: DRDO achieved an important milestone in the development of AIP System by proving the land based prototype on 8 March 2021.…",FALSE,0,NA,2021-03-11 03:45:51,FALSE,NA,"1369857071705772033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tahir15118709",929,TRUE,FALSE,NA,NA
"RT @PiyushGoyal: Make in India <U+0001F1EE><U+0001F1F3> for the World:
Realising our Hon'ble PM's Vision of #AatmaNirbharBharat &amp; Exemplifying our capability to…",FALSE,0,NA,2021-03-11 03:44:46,FALSE,NA,"1369856801110290435",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrahmbhattMolik",134,TRUE,FALSE,NA,NA
"RT @DoC_GoI: During the launch, Shri Anup Wadhawan, Commerce Secretary, DoC said that the GoI has taken various steps to create transparenc…",FALSE,0,NA,2021-03-11 03:44:04,FALSE,NA,"1369856622890127364",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amitnpc1989",12,TRUE,FALSE,NA,NA
"RT @PiyushGoyal: Make in India <U+0001F1EE><U+0001F1F3> for the World:
Realising our Hon'ble PM's Vision of #AatmaNirbharBharat &amp; Exemplifying our capability to…",FALSE,0,NA,2021-03-11 03:39:48,FALSE,NA,"1369855549374754822",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Varun10562057",134,TRUE,FALSE,NA,NA
"RT @DRDO_India: DRDO achieved an important milestone in the development of AIP System by proving the land based prototype on 8 March 2021.…",FALSE,0,NA,2021-03-11 03:32:27,FALSE,NA,"1369853699095326727",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shivpal33923912",929,TRUE,FALSE,NA,NA
"RT @SKodineya: #Code of #Ethics for #OTTplatforms requires them to self-classify the contents into five age based categories and implement…",FALSE,0,NA,2021-03-11 03:31:42,FALSE,NA,"1369853511152799746",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AtulTri51418237",45,TRUE,FALSE,NA,NA
"RT @SKodineya: <U+0001F6E9> The #Aerial #LiDAR survey to capture data for the Mumbai-Ahmedabad high-speed rail corridor has begun.

<U+0001F687> This study will…",FALSE,0,NA,2021-03-11 03:31:41,FALSE,NA,"1369853507491131396",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AtulTri51418237",45,TRUE,FALSE,NA,NA
"RT @GeM_India: The goal of #AatmanirbharBharat can be achieved when all of us inculcate a habit of buying and selling Indian products and s…",FALSE,0,NA,2021-03-11 03:25:34,FALSE,NA,"1369851969859330050",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Praveenuid",4,TRUE,FALSE,NA,NA
"RT @mygovindia: INS Karanj, the 3rd indigenous submarine, commissioned into the Indian navy after two years of rigorous sea trials. Watch t…",FALSE,0,NA,2021-03-11 03:23:38,FALSE,NA,"1369851480128155653",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ramagirinanthan",46,TRUE,FALSE,NA,NA
"RT @mygovindia: INS Karanj, the 3rd indigenous submarine, commissioned into the Indian navy after two years of rigorous sea trials. Watch t…",FALSE,0,NA,2021-03-11 03:23:10,FALSE,NA,"1369851363492986880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","monmeebsaikia",46,TRUE,FALSE,NA,NA
"RT @Pomani_Sanju: 40% of Total Working Capital is always Stucked in #GST 
Above 12% Rate is Just Flawed #GST
Thats why #MSMEs in <U+0001F1EE><U+0001F1F3>Struggli…",FALSE,0,NA,2021-03-11 03:15:56,FALSE,NA,"1369849542854737922",NA,"<a href=""https://twitter.com/HinduNatl"" rel=""nofollow"">Hindu Nationalist RT app</a>","HinduNatl",1,TRUE,FALSE,NA,NA
"RT @DoC_GoI: During the launch, Shri Anup Wadhawan, Commerce Secretary, DoC said that the GoI has taken various steps to create transparenc…",FALSE,0,NA,2021-03-11 03:13:50,FALSE,NA,"1369849014804312068",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ManishVinay4",12,TRUE,FALSE,NA,NA
